Effective area (cm^2) for 13 shell HERO module vs. E (keV) and off-axis angle (arcmin=am) 
    E      0 am    1 am    2 am    3 am    4 am    5 am    6 am    7 am    8 am    9 am   10 am   11 am   12 am 
  29.25   12.49   10.95    9.36    7.66    5.81    4.29    3.29    2.61    2.12    1.74    1.43    1.17    0.95 
  29.50   12.49   10.95    9.36    7.64    5.77    4.26    3.27    2.60    2.11    1.73    1.42    1.17    0.95 
  29.75   12.49   10.95    9.36    7.61    5.73    4.23    3.25    2.59    2.10    1.73    1.42    1.17    0.95 
  30.00   12.49   10.95    9.35    7.58    5.69    4.20    3.23    2.58    2.09    1.72    1.41    1.16    0.94 
  30.25   12.49   10.95    9.35    7.54    5.65    4.17    3.21    2.56    2.08    1.71    1.41    1.16    0.94 
  30.50   12.49   10.95    9.34    7.50    5.60    4.14    3.19    2.55    2.07    1.71    1.41    1.16    0.94 
  30.75   12.49   10.95    9.33    7.47    5.56    4.11    3.17    2.54    2.06    1.70    1.40    1.16    0.94 
  31.00   12.49   10.94    9.33    7.42    5.51    4.07    3.15    2.52    2.05    1.69    1.39    1.15    0.94 
  31.25   12.49   10.94    9.31    7.38    5.46    4.04    3.13    2.51    2.04    1.68    1.39    1.15    0.94 
  31.50   12.49   10.94    9.29    7.33    5.41    4.01    3.11    2.49    2.03    1.67    1.38    1.14    0.93 
  31.75   12.49   10.94    9.27    7.28    5.37    3.98    3.09    2.48    2.02    1.67    1.37    1.14    0.93 
  32.00   12.49   10.94    9.25    7.23    5.32    3.94    3.06    2.46    2.01    1.66    1.37    1.13    0.93 
  32.25   12.49   10.94    9.22    7.18    5.27    3.91    3.04    2.45    2.00    1.65    1.36    1.13    0.92 
  32.50   12.48   10.93    9.19    7.12    5.22    3.87    3.02    2.43    1.98    1.64    1.35    1.12    0.92 
  32.75   12.48   10.93    9.16    7.07    5.17    3.84    2.99    2.41    1.97    1.63    1.34    1.11    0.92 
  33.00   12.48   10.93    9.12    7.01    5.11    3.81    2.97    2.40    1.96    1.62    1.34    1.11    0.91 
  33.25   12.48   10.92    9.08    6.95    5.06    3.77    2.95    2.38    1.95    1.61    1.33    1.10    0.91 
  33.50   12.48   10.92    9.04    6.89    5.01    3.74    2.92    2.36    1.93    1.60    1.32    1.09    0.90 
  33.75   12.48   10.91    8.99    6.83    4.96    3.70    2.90    2.34    1.92    1.58    1.31    1.09    0.90 
  34.00   12.48   10.91    8.95    6.77    4.91    3.67    2.87    2.32    1.90    1.57    1.30    1.08    0.89 
  34.25   12.47   10.90    8.90    6.71    4.86    3.63    2.84    2.30    1.89    1.56    1.29    1.07    0.88 
  34.50   12.47   10.90    8.84    6.65    4.80    3.60    2.82    2.28    1.87    1.55    1.28    1.06    0.88 
  34.75   12.47   10.89    8.78    6.58    4.75    3.56    2.79    2.26    1.86    1.54    1.27    1.06    0.87 
  35.00   12.46   10.88    8.72    6.52    4.70    3.52    2.77    2.24    1.84    1.53    1.26    1.05    0.86 
  35.25   12.46   10.87    8.66    6.45    4.65    3.49    2.74    2.22    1.83    1.52    1.25    1.04    0.86 
  35.50   12.46   10.86    8.60    6.39    4.59    3.45    2.71    2.20    1.81    1.51    1.24    1.03    0.85 
  35.75   12.45   10.85    8.53    6.32    4.54    3.42    2.68    2.18    1.79    1.49    1.23    1.02    0.84 
  36.00   12.45   10.83    8.46    6.25    4.49    3.38    2.65    2.16    1.78    1.48    1.22    1.02    0.84 
  36.25   12.44   10.81    8.39    6.18    4.44    3.34    2.63    2.13    1.76    1.47    1.21    1.01    0.83 
  36.50   12.44   10.77    8.32    6.11    4.38    3.31    2.60    2.11    1.74    1.45    1.20    1.00    0.82 
  36.75   12.43   10.73    8.24    6.04    4.33    3.27    2.57    2.09    1.73    1.44    1.19    0.99    0.81 
  37.00   12.43   10.68    8.16    5.96    4.28    3.23    2.54    2.06    1.71    1.42    1.18    0.98    0.80 
  37.25   12.42   10.63    8.09    5.89    4.23    3.20    2.51    2.04    1.69    1.41    1.17    0.97    0.80 
  37.50   12.42   10.57    8.01    5.82    4.17    3.16    2.48    2.02    1.67    1.39    1.16    0.96    0.79 
  37.75   12.41   10.51    7.93    5.75    4.12    3.12    2.46    1.99    1.65    1.38    1.14    0.95    0.78 
  38.00   12.40   10.45    7.85    5.67    4.07    3.09    2.43    1.97    1.63    1.36    1.13    0.94    0.77 
  38.25   12.39   10.39    7.77    5.60    4.02    3.05    2.40    1.95    1.61    1.35    1.12    0.93    0.76 
  38.50   12.38   10.32    7.69    5.52    3.96    3.01    2.37    1.92    1.59    1.33    1.11    0.92    0.75 
  38.75   12.37   10.25    7.61    5.45    3.91    2.97    2.34    1.90    1.57    1.31    1.09    0.91    0.75 
  39.00   12.36   10.17    7.53    5.38    3.86    2.94    2.31    1.88    1.55    1.30    1.08    0.90    0.74 
  39.25   12.34   10.09    7.45    5.31    3.81    2.90    2.28    1.85    1.53    1.28    1.06    0.89    0.73 
  39.50   12.33   10.00    7.36    5.23    3.75    2.86    2.25    1.83    1.51    1.26    1.05    0.88    0.72 
  39.75   12.31    9.92    7.28    5.16    3.70    2.82    2.22    1.80    1.49    1.24    1.04    0.87    0.71 
  40.00   12.29    9.83    7.19    5.09    3.65    2.78    2.19    1.78    1.47    1.23    1.02    0.86    0.70 
  40.25   12.26    9.74    7.10    5.01    3.60    2.75    2.16    1.76    1.45    1.21    1.01    0.85    0.69 
  40.50   12.23    9.64    7.01    4.94    3.55    2.71    2.13    1.73    1.43    1.19    0.99    0.83    0.68 
  40.75   12.19    9.54    6.92    4.87    3.50    2.67    2.10    1.71    1.41    1.17    0.98    0.82    0.67 
  41.00   12.14    9.44    6.83    4.80    3.45    2.63    2.07    1.68    1.39    1.16    0.96    0.81    0.66 
  41.25   12.08    9.34    6.74    4.73    3.40    2.60    2.04    1.66    1.37    1.14    0.95    0.80    0.65 
  41.50   11.99    9.23    6.64    4.66    3.35    2.56    2.01    1.63    1.35    1.12    0.93    0.79    0.64 
  41.75   11.86    9.13    6.55    4.59    3.30    2.52    1.98    1.61    1.33    1.10    0.92    0.77    0.63 
  42.00   11.72    9.02    6.46    4.52    3.25    2.48    1.95    1.59    1.31    1.09    0.90    0.76    0.62 
  42.25   11.59    8.91    6.36    4.45    3.20    2.44    1.92    1.56    1.29    1.07    0.89    0.75    0.61 
  42.50   11.48    8.80    6.27    4.38    3.15    2.41    1.89    1.54    1.27    1.05    0.87    0.73    0.60 
  42.75   11.38    8.70    6.17    4.31    3.10    2.37    1.86    1.52    1.25    1.04    0.86    0.72    0.59 
  43.00   11.29    8.59    6.08    4.24    3.05    2.34    1.84    1.49    1.23    1.02    0.84    0.71    0.58 
  43.25   11.21    8.48    5.99    4.17    3.01    2.30    1.81    1.47    1.22    1.00    0.83    0.70    0.57 
  43.50   11.12    8.38    5.90    4.11    2.96    2.26    1.78    1.45    1.20    0.99    0.81    0.69    0.56 
  43.75   11.04    8.27    5.80    4.04    2.91    2.23    1.75    1.42    1.18    0.97    0.80    0.67    0.55 
  44.00   10.94    8.17    5.71    3.98    2.87    2.19    1.72    1.40    1.16    0.95    0.79    0.66    0.54 
  44.25   10.81    8.07    5.62    3.91    2.82    2.16    1.69    1.38    1.14    0.94    0.77    0.65    0.53 
  44.50   10.63    7.96    5.53    3.85    2.78    2.12    1.67    1.35    1.12    0.92    0.76    0.64    0.52 
  44.75   10.35    7.85    5.44    3.79    2.73    2.09    1.64    1.33    1.10    0.91    0.75    0.63    0.51 
  45.00   10.11    7.75    5.35    3.72    2.69    2.06    1.61    1.31    1.09    0.89    0.73    0.61    0.50 
  45.25    9.93    7.64    5.27    3.66    2.64    2.02    1.58    1.29    1.07    0.88    0.72    0.60    0.49 
  45.50    9.77    7.54    5.18    3.60    2.60    1.99    1.56    1.27    1.05    0.86    0.71    0.59    0.48 
  45.75    9.62    7.44    5.10    3.54    2.56    1.96    1.53    1.25    1.03    0.85    0.70    0.58    0.47 
  46.00    9.49    7.33    5.01    3.49    2.52    1.93    1.51    1.22    1.02    0.83    0.68    0.57    0.47 
  46.25    9.35    7.23    4.93    3.43    2.48    1.90    1.48    1.20    1.00    0.82    0.67    0.56    0.46 
  46.50    9.20    7.13    4.85    3.37    2.44    1.86    1.46    1.18    0.98    0.80    0.66    0.55    0.45 
  46.75    9.03    7.03    4.77    3.32    2.40    1.83    1.43    1.16    0.97    0.79    0.65    0.54    0.44 
  47.00    8.86    6.93    4.69    3.26    2.36    1.80    1.41    1.14    0.95    0.78    0.64    0.53    0.43 
  47.25    8.71    6.83    4.61    3.21    2.32    1.78    1.39    1.12    0.93    0.76    0.62    0.52    0.42 
  47.50    8.57    6.73    4.53    3.15    2.28    1.75    1.36    1.11    0.92    0.75    0.61    0.51    0.41 
  47.75    8.46    6.62    4.46    3.10    2.25    1.72    1.34    1.09    0.90    0.74    0.60    0.50    0.40 
  48.00    8.34    6.52    4.39    3.05    2.21    1.69    1.32    1.07    0.89    0.72    0.59    0.49    0.40 
  48.25    8.24    6.42    4.31    3.00    2.17    1.66    1.30    1.05    0.87    0.71    0.58    0.48    0.39 
  48.50    8.13    6.31    4.24    2.95    2.14    1.63    1.27    1.03    0.86    0.70    0.57    0.47    0.38 
  48.75    8.00    6.21    4.17    2.90    2.10    1.61    1.25    1.02    0.84    0.69    0.56    0.46    0.37 
  49.00    7.86    6.10    4.10    2.85    2.07    1.58    1.23    1.00    0.83    0.67    0.55    0.45    0.36 
  49.25    7.71    6.00    4.03    2.81    2.03    1.56    1.21    0.98    0.81    0.66    0.54    0.44    0.36 
  49.50    7.57    5.90    3.97    2.76    2.00    1.53    1.19    0.96    0.80    0.65    0.53    0.44    0.35 
  49.75    7.46    5.80    3.90    2.71    1.97    1.51    1.17    0.95    0.78    0.64    0.52    0.43    0.34 
  50.00    7.35    5.70    3.83    2.67    1.94    1.48    1.15    0.93    0.77    0.63    0.51    0.42    0.34 
  50.25    7.27    5.60    3.77    2.62    1.90    1.46    1.13    0.92    0.76    0.62    0.50    0.41    0.33 
  50.50    7.19    5.51    3.70    2.58    1.87    1.43    1.12    0.90    0.74    0.61    0.49    0.40    0.32 
  50.75    7.11    5.42    3.64    2.54    1.84    1.41    1.10    0.89    0.73    0.60    0.48    0.40    0.31 
  51.00    7.04    5.32    3.57    2.49    1.81    1.39    1.08    0.87    0.72    0.59    0.47    0.39    0.31 
  51.25    6.98    5.23    3.51    2.45    1.78    1.36    1.06    0.85    0.70    0.57    0.46    0.38    0.30 
  51.50    6.92    5.15    3.45    2.41    1.75    1.34    1.04    0.84    0.69    0.56    0.45    0.37    0.29 
  51.75    6.86    5.05    3.39    2.37    1.72    1.32    1.02    0.82    0.68    0.55    0.45    0.36    0.29 
  52.00    6.79    4.96    3.33    2.33    1.69    1.30    1.01    0.81    0.67    0.54    0.44    0.36    0.28 
  52.25    6.73    4.87    3.27    2.29    1.67    1.27    0.99    0.80    0.65    0.53    0.43    0.35    0.28 
  52.50    6.65    4.79    3.21    2.25    1.64    1.25    0.97    0.78    0.64    0.52    0.42    0.34    0.27 
  52.75    6.55    4.70    3.16    2.22    1.61    1.23    0.96    0.77    0.63    0.51    0.41    0.34    0.26 
  53.00    6.43    4.61    3.10    2.18    1.58    1.21    0.94    0.75    0.62    0.50    0.41    0.33    0.26 
  53.25    6.32    4.53    3.05    2.14    1.56    1.19    0.92    0.74    0.61    0.49    0.40    0.32    0.25 
  53.50    6.22    4.45    2.99    2.10    1.53    1.17    0.91    0.73    0.60    0.49    0.39    0.32    0.25 
  53.75    6.13    4.36    2.94    2.07    1.50    1.15    0.89    0.71    0.59    0.48    0.38    0.31    0.24 
  54.00    6.04    4.28    2.89    2.03    1.48    1.13    0.88    0.70    0.57    0.47    0.37    0.30    0.23 
  54.25    5.97    4.21    2.83    2.00    1.45    1.11    0.86    0.69    0.56    0.46    0.37    0.30    0.23 
  54.50    5.91    4.13    2.78    1.96    1.43    1.09    0.85    0.68    0.55    0.45    0.36    0.29    0.22 
  54.75    5.84    4.05    2.73    1.93    1.40    1.07    0.83    0.66    0.54    0.44    0.35    0.28    0.22 
  55.00    5.78    3.97    2.68    1.90    1.38    1.05    0.82    0.65    0.53    0.43    0.34    0.28    0.21 
  55.25    5.71    3.90    2.64    1.86    1.35    1.04    0.80    0.64    0.52    0.42    0.34    0.27    0.21 
  55.50    5.63    3.82    2.59    1.83    1.33    1.02    0.79    0.63    0.51    0.42    0.33    0.27    0.20 
  55.75    5.53    3.75    2.54    1.80    1.31    1.00    0.77    0.61    0.50    0.41    0.32    0.26    0.20 
  56.00    5.41    3.67    2.49    1.77    1.29    0.98    0.76    0.60    0.49    0.40    0.32    0.26    0.20 
  56.25    5.30    3.60    2.45    1.74    1.26    0.97    0.75    0.59    0.48    0.39    0.31    0.25    0.19 
  56.50    5.20    3.53    2.40    1.71    1.24    0.95    0.73    0.58    0.47    0.38    0.30    0.24    0.19 
  56.75    5.10    3.46    2.36    1.68    1.22    0.93    0.72    0.57    0.46    0.37    0.30    0.24    0.18 
  57.00    5.01    3.40    2.31    1.65    1.20    0.92    0.71    0.56    0.45    0.37    0.29    0.23    0.18 
  57.25    4.90    3.33    2.27    1.62    1.18    0.90    0.69    0.55    0.44    0.36    0.29    0.23    0.17 
  57.50    4.78    3.27    2.23    1.59    1.16    0.88    0.68    0.54    0.43    0.35    0.28    0.22    0.17 
  57.75    4.66    3.21    2.19    1.56    1.14    0.87    0.67    0.53    0.43    0.34    0.27    0.22    0.17 
  58.00    4.54    3.14    2.15    1.54    1.12    0.85    0.66    0.52    0.42    0.34    0.27    0.21    0.16 
  58.25    4.44    3.09    2.11    1.51    1.10    0.84    0.65    0.51    0.41    0.33    0.26    0.21    0.16 
  58.50    4.35    3.03    2.07    1.48    1.08    0.82    0.63    0.50    0.40    0.32    0.26    0.20    0.15 
  58.75    4.26    2.97    2.03    1.46    1.06    0.81    0.62    0.49    0.39    0.32    0.25    0.20    0.15 
  59.00    4.15    2.92    1.99    1.43    1.04    0.80    0.61    0.48    0.39    0.31    0.25    0.20    0.15 
  59.25    4.04    2.86    1.96    1.41    1.03    0.78    0.60    0.47    0.38    0.30    0.24    0.19    0.14 
  59.50    3.92    2.80    1.92    1.38    1.01    0.77    0.59    0.46    0.37    0.30    0.24    0.19    0.14 
  59.75    3.81    2.75    1.88    1.36    0.99    0.76    0.58    0.46    0.36    0.29    0.23    0.18    0.14 
  60.00    3.72    2.70    1.85    1.33    0.97    0.74    0.57    0.45    0.36    0.29    0.23    0.18    0.13 
  60.25    3.65    2.64    1.82    1.31    0.96    0.73    0.56    0.44    0.35    0.28    0.22    0.18    0.13 
  60.50    3.58    2.59    1.78    1.29    0.94    0.72    0.55    0.43    0.34    0.27    0.22    0.17    0.13 
  60.75    3.52    2.54    1.75    1.27    0.92    0.71    0.54    0.42    0.34    0.27    0.21    0.17    0.13 
  61.00    3.46    2.49    1.72    1.25    0.91    0.69    0.53    0.42    0.33    0.26    0.21    0.16    0.12 
  61.25    3.40    2.44    1.69    1.22    0.89    0.68    0.52    0.41    0.32    0.26    0.20    0.16    0.12 
  61.50    3.35    2.39    1.66    1.20    0.88    0.67    0.51    0.40    0.32    0.25    0.20    0.16    0.12 
  61.75    3.30    2.34    1.63    1.18    0.86    0.66    0.51    0.39    0.31    0.25    0.20    0.15    0.11 
  62.00    3.26    2.29    1.60    1.16    0.85    0.65    0.50    0.39    0.30    0.24    0.19    0.15    0.11 
  62.25    3.20    2.25    1.57    1.14    0.83    0.64    0.49    0.38    0.30    0.24    0.19    0.15    0.11 
  62.50    3.15    2.20    1.54    1.13    0.82    0.63    0.48    0.37    0.29    0.23    0.18    0.14    0.11 
  62.75    3.08    2.15    1.51    1.11    0.81    0.62    0.47    0.37    0.29    0.23    0.18    0.14    0.10 
  63.00    2.99    2.11    1.48    1.09    0.79    0.60    0.46    0.36    0.28    0.22    0.18    0.14    0.10 
  63.25    2.91    2.07    1.46    1.07    0.78    0.59    0.45    0.35    0.28    0.22    0.17    0.13    0.10 
  63.50    2.83    2.02    1.43    1.05    0.77    0.58    0.45    0.35    0.27    0.21    0.17    0.13    0.10 
  63.75    2.76    1.98    1.41    1.04    0.75    0.57    0.44    0.34    0.27    0.21    0.16    0.13    0.10 
  64.00    2.71    1.94    1.38    1.02    0.74    0.57    0.43    0.34    0.26    0.21    0.16    0.12    0.09 
  64.25    2.65    1.90    1.36    1.00    0.73    0.56    0.42    0.33    0.26    0.20    0.16    0.12    0.09 
  64.50    2.61    1.86    1.33    0.98    0.72    0.55    0.42    0.32    0.25    0.20    0.15    0.12    0.09 
  64.75    2.57    1.82    1.31    0.97    0.71    0.54    0.41    0.32    0.25    0.19    0.15    0.12    0.09 
  65.00    2.53    1.78    1.28    0.95    0.69    0.53    0.40    0.31    0.24    0.19    0.15    0.11    0.08 
  65.25    2.49    1.75    1.26    0.94    0.68    0.52    0.40    0.31    0.24    0.19    0.14    0.11    0.08 
  65.50    2.45    1.71    1.24    0.92    0.67    0.51    0.39    0.30    0.23    0.18    0.14    0.11    0.08 
  65.75    2.42    1.67    1.21    0.91    0.66    0.50    0.38    0.30    0.23    0.18    0.14    0.11    0.08 
  66.00    2.38    1.64    1.19    0.89    0.65    0.49    0.38    0.29    0.22    0.17    0.14    0.10    0.08 
  66.25    2.35    1.60    1.17    0.88    0.64    0.49    0.37    0.29    0.22    0.17    0.13    0.10    0.08 
  66.50    2.31    1.57    1.15    0.86    0.63    0.48    0.36    0.28    0.22    0.17    0.13    0.10    0.07 
  66.75    2.27    1.54    1.13    0.85    0.62    0.47    0.36    0.28    0.21    0.16    0.13    0.10    0.07 
  67.00    2.21    1.51    1.11    0.84    0.61    0.46    0.35    0.27    0.21    0.16    0.12    0.09    0.07 
  67.25    2.14    1.48    1.09    0.82    0.60    0.46    0.34    0.27    0.21    0.16    0.12    0.09    0.07 
  67.50    2.07    1.44    1.07    0.81    0.59    0.45    0.34    0.26    0.20    0.15    0.12    0.09    0.07 
  67.75    2.01    1.41    1.05    0.79    0.58    0.44    0.33    0.26    0.20    0.15    0.12    0.09    0.07 
  68.00    1.95    1.39    1.03    0.78    0.57    0.43    0.33    0.25    0.19    0.15    0.11    0.09    0.06 
  68.25    1.91    1.36    1.01    0.77    0.56    0.43    0.32    0.25    0.19    0.15    0.11    0.08    0.06 
  68.50    1.87    1.33    1.00    0.76    0.55    0.42    0.32    0.24    0.19    0.14    0.11    0.08    0.06 
  68.75    1.83    1.30    0.98    0.74    0.54    0.41    0.31    0.24    0.18    0.14    0.11    0.08    0.06 
  69.00    1.80    1.27    0.96    0.73    0.53    0.41    0.30    0.23    0.18    0.14    0.10    0.08    0.06 
  69.25    1.77    1.25    0.94    0.72    0.53    0.40    0.30    0.23    0.18    0.13    0.10    0.08    0.06 
  69.50    1.74    1.22    0.93    0.71    0.52    0.39    0.29    0.23    0.17    0.13    0.10    0.07    0.06 
  69.75    1.71    1.19    0.91    0.70    0.51    0.39    0.29    0.22    0.17    0.13    0.10    0.07    0.05 
  70.00    1.69    1.17    0.89    0.69    0.50    0.38    0.28    0.22    0.17    0.13    0.10    0.07    0.05 
  70.25    1.67    1.14    0.88    0.67    0.49    0.37    0.28    0.21    0.16    0.12    0.09    0.07    0.05 
  70.50    1.64    1.12    0.86    0.66    0.49    0.37    0.27    0.21    0.16    0.12    0.09    0.07    0.05 
  70.75    1.62    1.09    0.85    0.65    0.48    0.36    0.27    0.21    0.16    0.12    0.09    0.07    0.05 
  71.00    1.60    1.07    0.83    0.64    0.47    0.36    0.27    0.20    0.16    0.12    0.09    0.07    0.05 
  71.25    1.58    1.05    0.82    0.63    0.46    0.35    0.26    0.20    0.15    0.11    0.09    0.06    0.05 
  71.50    1.56    1.02    0.80    0.62    0.46    0.34    0.26    0.20    0.15    0.11    0.08    0.06    0.05 
  71.75    1.55    1.00    0.79    0.61    0.45    0.34    0.25    0.19    0.15    0.11    0.08    0.06    0.05 
  72.00    1.53    0.98    0.77    0.60    0.44    0.33    0.25    0.19    0.14    0.11    0.08    0.06    0.04 
  72.25    1.51    0.96    0.76    0.59    0.43    0.33    0.24    0.18    0.14    0.10    0.08    0.06    0.04 
  72.50    1.49    0.94    0.74    0.58    0.43    0.32    0.24    0.18    0.14    0.10    0.08    0.06    0.04 
  72.75    1.48    0.92    0.73    0.57    0.42    0.32    0.23    0.18    0.14    0.10    0.07    0.06    0.04 
  73.00    1.46    0.89    0.72    0.56    0.41    0.31    0.23    0.17    0.13    0.10    0.07    0.05    0.04 
  73.25    1.44    0.87    0.70    0.55    0.41    0.31    0.23    0.17    0.13    0.10    0.07    0.05    0.04 
  73.50    1.42    0.85    0.69    0.54    0.40    0.30    0.22    0.17    0.13    0.09    0.07    0.05    0.04 
  73.75    1.40    0.83    0.68    0.53    0.39    0.29    0.22    0.16    0.13    0.09    0.07    0.05    0.04 
  74.00    1.37    0.81    0.66    0.52    0.39    0.29    0.21    0.16    0.12    0.09    0.07    0.05    0.04 
  74.25    1.32    0.79    0.65    0.51    0.38    0.28    0.21    0.16    0.12    0.09    0.07    0.05    0.04 
  74.50    1.26    0.77    0.64    0.50    0.37    0.28    0.21    0.16    0.12    0.09    0.06    0.05    0.03 
  74.75    1.20    0.75    0.62    0.49    0.37    0.27    0.20    0.15    0.12    0.08    0.06    0.05    0.03 
  75.00    1.15    0.73    0.61    0.48    0.36    0.27    0.20    0.15    0.11    0.08    0.06    0.05    0.03 
  75.25    1.11    0.71    0.60    0.47    0.35    0.26    0.19    0.15    0.11    0.08    0.06    0.04    0.03 
  75.50    1.07    0.69    0.58    0.46    0.34    0.26    0.19    0.14    0.11    0.08    0.06    0.04    0.03 
  75.75    1.02    0.67    0.57    0.45    0.34    0.25    0.18    0.14    0.10    0.08    0.06    0.04    0.03 
  76.00    0.97    0.65    0.55    0.44    0.33    0.24    0.18    0.13    0.10    0.07    0.05    0.04    0.03 
  76.25    0.84    0.61    0.52    0.42    0.31    0.23    0.17    0.13    0.10    0.07    0.05    0.04    0.03 
  76.50    0.75    0.58    0.49    0.40    0.30    0.22    0.16    0.12    0.09    0.07    0.05    0.04    0.03 
